id,code,name,short_name,campus,address/street,address/city,address/province,address/country,address/postal,lat,lng,polygon/0/0,polygon/0/1,polygon/1/0,polygon/1/1,polygon/2/0,polygon/2/1,polygon/3/0,polygon/3/1,polygon/4/0,polygon/4/1,polygon/5/0,polygon/5/1,polygon/6/0,polygon/6/1,polygon/7/0,polygon/7/1,polygon/8/0,polygon/8/1,polygon/9/0,polygon/9/1,polygon/10/0,polygon/10/1,polygon/11/0,polygon/11/1,polygon/12/0,polygon/12/1,polygon/13/0,polygon/13/1,polygon/14/0,polygon/14/1,polygon/15/0,polygon/15/1,polygon/16/0,polygon/16/1,polygon/17/0,polygon/17/1,polygon/18/0,polygon/18/1,polygon/19/0,polygon/19/1,polygon/20/0,polygon/20/1,polygon/21/0,polygon/21/1,polygon/22/0,polygon/22/1,polygon/23/0,polygon/23/1,polygon/24/0,polygon/24/1,polygon/25/0,polygon/25/1,polygon/26/0,polygon/26/1,polygon/27/0,polygon/27/1,polygon/28/0,polygon/28/1,polygon/29/0,polygon/29/1,polygon/30/0,polygon/30/1,polygon/31/0,polygon/31/1,polygon/32/0,polygon/32/1,polygon/33/0,polygon/33/1,polygon/34/0,polygon/34/1,polygon/35/0,polygon/35/1,polygon/36/0,polygon/36/1,polygon/37/0,polygon/37/1,polygon/38/0,polygon/38/1,polygon/39/0,polygon/39/1,polygon/40/0,polygon/40/1,polygon/41/0,polygon/41/1,polygon/42/0,polygon/42/1,polygon/43/0,polygon/43/1,polygon/44/0,polygon/44/1,polygon/45/0,polygon/45/1,polygon/46/0,polygon/46/1,polygon/47/0,polygon/47/1,polygon/48/0,polygon/48/1,polygon/49/0,polygon/49/1,polygon/50/0,polygon/50/1,polygon/51/0,polygon/51/1,polygon/52/0,polygon/52/1,polygon/53/0,polygon/53/1,polygon/54/0,polygon/54/1,polygon/55/0,polygon/55/1,polygon/56/0,polygon/56/1,polygon/57/0,polygon/57/1,polygon/58/0,polygon/58/1,polygon/59/0,polygon/59/1,polygon/60/0,polygon/60/1,polygon/61/0,polygon/61/1,polygon/62/0,polygon/62/1,polygon/63/0,polygon/63/1,polygon/64/0,polygon/64/1,polygon/65/0,polygon/65/1,polygon/66/0,polygon/66/1,polygon/67/0,polygon/67/1,polygon/68/0,polygon/68/1,polygon/69/0,polygon/69/1,polygon/70/0,polygon/70/1,polygon/71/0,polygon/71/1,polygon/72/0,polygon/72/1,polygon/73/0,polygon/73/1,polygon/74/0,polygon/74/1,polygon/75/0,polygon/75/1,polygon/76/0,polygon/76/1,polygon/77/0,polygon/77/1,polygon/78/0,polygon/78/1,polygon/79/0,polygon/79/1,polygon/80/0,polygon/80/1,polygon/81/0,polygon/81/1,polygon/82/0,polygon/82/1,polygon/83/0,polygon/83/1,polygon/84/0,polygon/84/1,polygon/85/0,polygon/85/1,polygon/86/0,polygon/86/1,polygon/87/0,polygon/87/1,polygon/88/0,polygon/88/1,polygon/89/0,polygon/89/1,polygon/90/0,polygon/90/1,polygon/91/0,polygon/91/1,polygon/92/0,polygon/92/1,polygon/93/0,polygon/93/1,polygon/94/0,polygon/94/1,polygon/95/0,polygon/95/1,polygon/96/0,polygon/96/1,polygon/97/0,polygon/97/1,polygon/98/0,polygon/98/1,polygon/99/0,polygon/99/1,polygon/100/0,polygon/100/1,polygon/101/0,polygon/101/1,polygon/102/0,polygon/102/1,polygon/103/0,polygon/103/1,polygon/104/0,polygon/104/1,polygon/105/0,polygon/105/1,polygon/106/0,polygon/106/1,polygon/107/0,polygon/107/1,polygon/108/0,polygon/108/1,polygon/109/0,polygon/109/1,polygon/110/0,polygon/110/1,polygon/111/0,polygon/111/1,polygon/112/0,polygon/112/1,polygon/113/0,polygon/113/1,polygon/114/0,polygon/114/1,polygon/115/0,polygon/115/1,polygon/116/0,polygon/116/1,polygon/117/0,polygon/117/1,polygon/118/0,polygon/118/1,polygon/119/0,polygon/119/1,polygon/120/0,polygon/120/1,polygon/121/0,polygon/121/1,polygon/122/0,polygon/122/1,polygon/123/0,polygon/123/1,polygon/124/0,polygon/124/1,polygon/125/0,polygon/125/1,polygon/126/0,polygon/126/1,polygon/127/0,polygon/127/1,polygon/128/0,polygon/128/1,polygon/129/0,polygon/129/1,polygon/130/0,polygon/130/1,polygon/131/0,polygon/131/1,polygon/132/0,polygon/132/1,polygon/133/0,polygon/133/1,polygon/134/0,polygon/134/1,polygon/135/0,polygon/135/1,polygon/136/0,polygon/136/1,polygon/137/0,polygon/137/1,polygon/138/0,polygon/138/1,polygon/139/0,polygon/139/1,polygon/140/0,polygon/140/1,polygon/141/0,polygon/141/1,polygon/142/0,polygon/142/1,polygon/143/0,polygon/143/1,polygon/144/0,polygon/144/1,polygon/145/0,polygon/145/1
001,UC,University College,UC,UTSG,15 King's College Circle,Toronto,ON,Canada,M5S 3H7,43.66319655917286,-79.395819910554,43.66252,-79.39552,43.66254,-79.39551,43.66255,-79.39548,43.66253,-79.39545,43.66254,-79.39543,43.66256,-79.39544,43.66257,-79.39539,43.66261,-79.39541,43.66267,-79.39509,43.66264,-79.39507,43.66266,-79.39496,43.6629,-79.39505,43.6629,-79.39508,43.66311,-79.39516,43.66311,-79.39519,43.66332,-79.39528,43.66328,-79.39544,43.66336,-79.39547,43.66334,-79.39557,43.66333,-79.39557,43.66321,-79.39614,43.66306,-79.39609,43.66318,-79.39551,43.66316,-79.3955,43.66317,-79.39543,43.66311,-79.3954,43.66311,-79.39536,43.66297,-79.3953,43.66296,-79.39534,43.66288,-79.39531,43.66289,-79.39527,43.66275,-79.39522,43.6627,-79.39544,43.66276,-79.39547,43.66271,-79.39568,43.66266,-79.39566,43.6626,-79.39594,43.66269,-79.39597,43.66268,-79.39601,43.66273,-79.39603,43.66272,-79.39608,43.66274,-79.39609,43.66276,-79.39604,43.66318,-79.39621,43.66315,-79.39636,43.66317,-79.39636,43.66314,-79.3965,43.66312,-79.39649,43.6631,-79.3966,43.66314,-79.39661,43.66312,-79.39674,43.66301,-79.3967,43.66306,-79.39647,43.66304,-79.39646,43.66306,-79.39635,43.66294,-79.3963,43.66295,-79.39627,43.66272,-79.39618,43.66274,-79.39613,43.66271,-79.39612,43.6627,-79.39617,43.66255,-79.39612,43.66251,-79.39628,43.66243,-79.39625,43.66241,-79.39628,43.66239,-79.39631,43.66236,-79.39631,43.66233,-79.39629,43.66231,-79.39626,43.66231,-79.39621,43.66233,-79.39617,43.66237,-79.39615,43.66239,-79.39615,43.66241,-79.39616,43.66247,-79.39588,43.66251,-79.39589,43.66256,-79.39562,43.66253,-79.39561,43.66254,-79.39556,43.66252,-79.39555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002,HH,Hart House,Hart House,UTSG,7 Hart House Circle,Toronto,ON,Canada,M5S 3H3,43.663700559989046,-79.3945183686304,43.66357,-79.39516,43.66354,-79.39515,43.6636,-79.39485,43.66357,-79.39483,43.66357,-79.39481,43.66354,-79.3948,43.66354,-79.39479,43.66354,-79.39479,43.66356,-79.39475,43.66355,-79.39474,43.66355,-79.39473,43.66358,-79.39474,43.66368,-79.39428,43.66365,-79.39427,43.66365,-79.39426,43.66366,-79.39426,43.66367,-79.39421,43.66366,-79.39421,43.66366,-79.39419,43.6637,-79.39421,43.6637,-79.39418,43.66378,-79.39421,43.6638,-79.39407,43.66376,-79.39405,43.66382,-79.39376,43.66391,-79.3938,43.66392,-79.39377,43.66395,-79.39379,43.66395,-79.39382,43.66417,-79.3939,43.66418,-79.39386,43.66428,-79.3939,43.66427,-79.39394,43.6643,-79.39395,43.66423,-79.39425,43.66429,-79.39427,43.66428,-79.39435,43.66422,-79.39433,43.66414,-79.39468,43.66415,-79.39469,43.66414,-79.39475,43.66413,-79.39475,43.66405,-79.39511,43.66411,-79.39513,43.66409,-79.3952,43.66404,-79.39518,43.66403,-79.39524,43.66377,-79.39513,43.66381,-79.39493,43.66391,-79.39497,43.66397,-79.39468,43.66396,-79.39468,43.66398,-79.39461,43.66399,-79.39462,43.66406,-79.39425,43.66387,-79.39416,43.66371,-79.39489,43.6638,-79.39493,43.66376,-79.39512,43.66359,-79.39506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003,SM,Gerstein Science Information Centre in the Sigmund Samuel Library Bldg,Sig Samuel,UTSG,7 and 9 King's College Circle,Toronto,ON,Canada,M5S 3K1,43.66220455260483,-79.393846475272,43.66245,-79.39423,43.66257,-79.39366,43.66254,-79.39365,43.66256,-79.39357,43.6623,-79.39346,43.66231,-79.39339,43.66229,-79.39335,43.66226,-79.39333,43.66223,-79.39336,43.66221,-79.39343,43.66212,-79.3934,43.6621,-79.3935,43.66198,-79.39345,43.66199,-79.39341,43.66194,-79.39339,43.662,-79.39313,43.66188,-79.39308,43.66188,-79.3931,43.66184,-79.39309,43.66183,-79.39312,43.66187,-79.39314,43.66182,-79.3934,43.66185,-79.39342,43.66185,-79.39345,43.66165,-79.39338,43.66163,-79.39347,43.66169,-79.39349,43.66167,-79.39355,43.66156,-79.39351,43.6615,-79.39375,43.66162,-79.3938,43.66163,-79.39373,43.66167,-79.39375,43.66168,-79.39378,43.66171,-79.39376,43.66178,-79.39379,43.66173,-79.39386,43.66175,-79.39393,43.6619,-79.39399,43.66191,-79.39392,43.6621,-79.394,43.66209,-79.39408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004,MR,McMurrich Building,McMurrich,UTSG,12 Queen's Park Crescent W,Toronto,ON,Canada,M5S 1S8,43.66110823306933,-79.392874174504,43.6615,-79.39314,43.66153,-79.39307,43.66154,-79.393,43.66154,-79.39292,43.66101,-79.39271,43.66096,-79.39294,43.66102,-79.39297,43.66101,-79.39302,43.66105,-79.39304,43.66106,-79.39298,43.66133,-79.39309,43.66133,-79.39307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
005,MS,Medical Sciences Building,MSB,UTSG,1 King's College Circle,Toronto,ON,Canada,M5S 1A8,43.660739554480855,-79.3937338224935,43.66119,-79.39353,43.6611,-79.39349,43.66111,-79.39344,43.66107,-79.39342,43.6611,-79.39329,43.66093,-79.39322,43.66092,-79.39327,43.66085,-79.39324,43.66092,-79.39287,43.66088,-79.39285,43.66089,-79.39281,43.66084,-79.39279,43.66094,-79.3923,43.66068,-79.39219,43.66067,-79.39223,43.66061,-79.3922,43.66051,-79.39266,43.66053,-79.39267,43.66043,-79.39318,43.66052,-79.39321,43.66051,-79.39324,43.66056,-79.39326,43.66044,-79.39382,43.66048,-79.39383,43.66038,-79.39428,43.66044,-79.3943,43.66044,-79.39435,43.66065,-79.39443,43.66065,-79.39445,43.66072,-79.39448,43.66073,-79.39446,43.66094,-79.39454,43.66095,-79.39451,43.66099,-79.39452,43.66113,-79.39386,43.66106,-79.39383,43.6611,-79.3936,43.66107,-79.39359,43.66109,-79.3935,43.66119,-79.39354,43.66118,-79.39357,43.66129,-79.39362,43.66128,-79.39367,43.6614,-79.39372,43.66148,-79.39335,43.66145,-79.39334,43.66146,-79.39329,43.6613,-79.39322,43.66131,-79.39319,43.66127,-79.39318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006,RL,John P. Robarts Library Building,Robarts,UTSG,130 St. George Street,Toronto,ON,Canada,M5S 1A5,43.664451945321126,-79.3994502804565,43.66483,-79.39932,43.66485,-79.39939,43.66474,-79.39953,43.66476,-79.39959,43.66479,-79.39954,43.6648,-79.39962,43.66476,-79.3996,43.66479,-79.3998,43.66478,-79.39983,43.6648,-79.39999,43.66468,-79.39995,43.66466,-79.39998,43.66452,-79.39992,43.66453,-79.39999,43.66447,-79.39996,43.66451,-79.39992,43.66448,-79.39991,43.66443,-79.39997,43.66427,-79.39991,43.66425,-79.39982,43.66423,-79.39981,43.66424,-79.39987,43.66418,-79.39985,43.66422,-79.3998,43.66407,-79.39975,43.66406,-79.3997,43.66395,-79.39966,43.66403,-79.39953,43.66403,-79.3995,43.66413,-79.39936,43.66409,-79.39934,43.66413,-79.39928,43.66414,-79.39934,43.66418,-79.3993,43.66414,-79.39911,43.66419,-79.39906,43.66432,-79.39911,43.66435,-79.39907,43.66431,-79.39905,43.66434,-79.39899,43.66436,-79.39906,43.66447,-79.39891,43.6645,-79.39892,43.66459,-79.39881,43.66461,-79.39897,43.66464,-79.39898,43.66468,-79.39918,43.66472,-79.39914,43.66473,-79.39921,43.66468,-79.3992,43.6647,-79.39926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006A,BL,Claude T. Bissell Building,Bissell Bldg,UTSG,140 St. George Street,Toronto,ON,Canada,M5S 3G6,43.66502918130166,-79.3992973945427,43.66485,-79.39938,43.66495,-79.39941,43.66498,-79.39954,43.66506,-79.39957,43.66507,-79.39956,43.66508,-79.39957,43.66516,-79.39946,43.66516,-79.39944,43.6652,-79.39939,43.66514,-79.39908,43.66509,-79.39906,43.66509,-79.39905,43.66506,-79.39903,43.66505,-79.39905,43.66496,-79.39901,43.6649,-79.3991,43.66492,-79.39921,43.66484,-79.39932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006B,RB,Thomas Fisher Rare Book Library Building,Rare Book,UTSG,120 St. George Street,Toronto,ON,Canada,M5S 1A5,43.66405418284699,-79.398935296325,43.66421,-79.3989,43.66418,-79.39876,43.66409,-79.39872,43.66387,-79.39901,43.66388,-79.39908,43.66402,-79.39914,43.66407,-79.39907,43.66415,-79.3991,43.66417,-79.39906,43.66415,-79.39896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
007,MB,Lassonde Mining Building,Mining,UTSG,170 College Street,Toronto,ON,Canada,M5S 3E3,43.659502525205575,-79.3933891586351,43.65964,-79.39399,43.65947,-79.39392,43.65946,-79.39393,43.65935,-79.39388,43.65935,-79.39387,43.65929,-79.39385,43.65934,-79.39365,43.65938,-79.39367,43.65942,-79.39349,43.65939,-79.39348,43.6594,-79.39341,43.65938,-79.3934,43.6594,-79.39332,43.65942,-79.39333,43.65943,-79.39327,43.65946,-79.39328,43.6595,-79.3931,43.65946,-79.39309,43.6595,-79.39289,43.65956,-79.39291,43.65956,-79.3929,43.65967,-79.39295,43.65967,-79.39296,43.65973,-79.39298,43.65967,-79.39325,43.65964,-79.39324,43.65961,-79.3934,43.65964,-79.39341,43.65965,-79.39334,43.65975,-79.39338,43.65969,-79.39366,43.65959,-79.39362,43.65961,-79.39352,43.65959,-79.39351,43.65954,-79.39373,43.65968,-79.39379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008,WB,Wallberg Building,Wallberg,UTSG,184-200 College Street,Toronto,ON,Canada,M56 3E5,43.65912364957695,-79.3951909325409,43.65939,-79.39502,43.65952,-79.39507,43.65956,-79.39483,43.65932,-79.39473,43.65937,-79.39446,43.6594,-79.39447,43.65943,-79.39436,43.6594,-79.39435,43.6594,-79.39434,43.65923,-79.39427,43.65915,-79.39466,43.65914,-79.39466,43.6591,-79.39487,43.65911,-79.39487,43.65899,-79.39546,43.65898,-79.39545,43.65893,-79.39566,43.65894,-79.39567,43.65888,-79.396,43.65916,-79.39612,43.65919,-79.39597,43.65921,-79.39598,43.65923,-79.39591,43.6591,-79.39585,43.65913,-79.39572,43.65925,-79.39577,43.65929,-79.3956,43.65916,-79.39555,43.6592,-79.39537,43.65924,-79.39539,43.65923,-79.39543,43.65932,-79.39547,43.65934,-79.39539,43.65936,-79.3954,43.65937,-79.39533,43.65935,-79.39532,43.65937,-79.39521,43.65924,-79.39515,43.65929,-79.39494,43.6594,-79.39498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
