id,course_id,course_code,campus,period,date,start_time,end_time,duration,sections/0/lecture_code,sections/0/exam_section,sections/0/location,sections/1/lecture_code,sections/1/exam_section,sections/1/location,sections/2/lecture_code,sections/2/exam_section,sections/2/location,sections/3/lecture_code,sections/3/exam_section,sections/3/location,sections/4/lecture_code,sections/4/exam_section,sections/4/location,sections/5/lecture_code,sections/5/exam_section,sections/5/location,sections/6/lecture_code,sections/6/exam_section,sections/6/location,sections/7/lecture_code,sections/7/exam_section,sections/7/location,sections/8/lecture_code,sections/8/exam_section,sections/8/location,sections/9/lecture_code,sections/9/exam_section,sections/9/location,sections/10/lecture_code,sections/10/exam_section,sections/10/location,sections/11/lecture_code,sections/11/exam_section,sections/11/location,sections/12/lecture_code,sections/12/exam_section,sections/12/location,sections/13/lecture_code,sections/13/exam_section,sections/13/location,sections/14/lecture_code,sections/14/exam_section,sections/14/location,sections/15/lecture_code,sections/15/exam_section,sections/15/location,sections/16/lecture_code,sections/16/exam_section,sections/16/location,sections/17/lecture_code,sections/17/exam_section,sections/17/location,sections/18/lecture_code,sections/18/exam_section,sections/18/location,sections/19/lecture_code,sections/19/exam_section,sections/19/location,sections/20/lecture_code,sections/20/exam_section,sections/20/location,sections/21/lecture_code,sections/21/exam_section,sections/21/location,sections/22/lecture_code,sections/22/exam_section,sections/22/location,sections/23/lecture_code,sections/23/exam_section,sections/23/location
ABS201Y1Y20149DEC15,ABS201Y1Y20149,ABS201Y1Y,UTSG,DEC15,2015-12-15,50400,61200,10800,,A - K,MP 202,,L - Z,MP 203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABS201Y1Y20159APR16,ABS201Y1Y20159,ABS201Y1Y,UTSG,APR16,2016-04-15,50400,61200,10800,,A - L,SS 2102,,M - Z,SS 2135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACT230H1F20159DEC15,ACT230H1F20159,ACT230H1F,UTSG,DEC15,2015-12-16,50400,57600,7200,,,ST VLAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACT230H1F20165FJUNE16,ACT230H1F20165F,ACT230H1F,UTSG,JUNE16,2016-06-20,68400,75600,7200,,,BA 2195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACT240H1F20159DEC15,ACT240H1F20159,ACT240H1F,UTSG,DEC15,2015-12-11,32400,39600,7200,,A - X,EX 200,,Y - Z,EX 320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACT240H1F20165FJUNE16,ACT240H1F20165F,ACT240H1F,UTSG,JUNE16,2016-06-23,68400,79200,10800,,,EX 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACT245H1S20161APR16,ACT245H1S20161,ACT245H1S,UTSG,APR16,2016-04-25,68400,75600,7200,,,MS 2158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACT245H1S20165SAUG16,ACT245H1S20165S,ACT245H1S,UTSG,AUG16,2016-08-10,68400,75600,7200,,,BA 3008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACT247H1S20161APR16,ACT247H1S20161,ACT247H1S,UTSG,APR16,2016-04-19,32400,39600,7200,,,ST VLAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACT247H1S20165SAUG16,ACT247H1S20165S,ACT247H1S,UTSG,AUG16,2016-08-09,68400,75600,7200,,,SF 3202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACT348H1F20159DEC15,ACT348H1F20159,ACT348H1F,UTSG,DEC15,2015-12-22,50400,57600,7200,,A - LI,HA 316,,LO - X,MS 2170,,Y - Z,MS 2172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACT349H1F20159DEC15,ACT349H1F20159,ACT349H1F,UTSG,DEC15,2015-12-11,32400,39600,7200,,,BR 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACT370H1S20161APR16,ACT370H1S20161,ACT370H1S,UTSG,APR16,2016-04-12,68400,75600,7200,,,ES 1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACT371H1F20159DEC15,ACT371H1F20159,ACT371H1F,UTSG,DEC15,2015-12-15,32400,43200,10800,,,SF 3202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACT372H1S20161APR16,ACT372H1S20161,ACT372H1S,UTSG,APR16,2016-04-25,32400,43200,10800,,,ST VLAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACT451H1F20159DEC15,ACT451H1F20159,ACT451H1F,UTSG,DEC15,2015-12-16,32400,39600,7200,,,TC 239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACT452H1S20161APR16,ACT452H1S20161,ACT452H1S,UTSG,APR16,2016-04-20,50400,57600,7200,,,SF 3202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACT455H1S20161APR16,ACT455H1S20161,ACT455H1S,UTSG,APR16,2016-04-18,32400,39600,7200,,,BA 2185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACT460H1F20159DEC15,ACT460H1F20159,ACT460H1F,UTSG,DEC15,2015-12-17,68400,75600,7200,,A - M,BA 2155,,N - Z,BA 2159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACT466H1S20161APR16,ACT466H1S20161,ACT466H1S,UTSG,APR16,2016-04-12,50400,57600,7200,,,BA 2139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACT470H1S20161APR16,ACT470H1S20161,ACT470H1S,UTSG,APR16,2016-04-26,32400,43200,10800,,,EX 320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AER302H1S20161APR16,AER302H1S20161,AER302H1S,UTSG,APR16,2016-04-21,34200,43200,9000,,A - Z,BA 3008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
