id,name,image,website,address,phone,about,collection_strengths,access,hours/sunday/closed,hours/sunday/open,hours/sunday/close,hours/monday/closed,hours/monday/open,hours/monday/close,hours/tuesday/closed,hours/tuesday/open,hours/tuesday/close,hours/wednesday/closed,hours/wednesday/open,hours/wednesday/close,hours/thursday/closed,hours/thursday/open,hours/thursday/close,hours/friday/closed,hours/friday/open,hours/friday/close,hours/saturday/closed,hours/saturday/open,hours/saturday/close
AEROSPACE,Engineering & Computer Science Library - Aerospace Resource Centre,https://onesearch.library.utoronto.ca/sites/default/files/styles/large/public/libraryphotos/engin.jpeg?itok=8RlOSWey,http://www.utias.utoronto.ca/not-in-use/resources/utias-library,"4925 Dufferin Street Downsview, Ontario, M3H 5T6",416-667-7712,,,,true,0,0,true,0,0,true,0,0,true,0,0,true,0,0,true,0,0,true,0,0
ARCHITECT,Architecture Landscape & Design Library (Shore + Moffat),https://onesearch.library.utoronto.ca/sites/default/files/styles/large/public/libraryphotos/2.jpg?itok=LcB4aNm9,http://www.daniels.utoronto.ca/resources/shore-moffat-library,"230 College Street, 2nd Floor Toronto, Ontario, M5T 1R2",416-978-2649,"Over 35,000 volumes. For contemporary architecture and landscape architecture material, this is the major collection although Robarts, Noranda Earth Sciences, Engineering, and Gerstein libraries also have relevant related collections.","Contemporary architecture, Landscape architecture, Urban design",,true,0,0,true,0,0,true,0,0,true,0,0,true,0,0,true,0,0,true,0,0
ARCHIVES,U of T Archives & Records Management Services (UTARMS),https://onesearch.library.utoronto.ca/sites/default/files/styles/large/public/libraryphotos/36.jpg?itok=Gxryms1P,http://www.library.utoronto.ca/utarms/,"120 St George Street, Thomas Fisher Rare Book Library, 4th Floor Toronto, Ontario, M5S 1A5",416-978-5344,"Established in 1965, the University of Toronto Archives and Records Management Services (UTARMS) acquires, preserves, and makes accessible materials that document the history of the University and its communities. With over 10,000 meters of records, it is the largest university archives in Canada. The Archives is also responsible for the University’s records management program, which promotes good recordkeeping in University offices.","The Archives preserves the university’s administrative records. This material documents the day-to-day operations of the University of Toronto, its development since 1827, and the activities of university administrators, staff and students.The Archives also has the private papers of more than 1000 individuals and groups affiliated with the University of Toronto, including faculty, alumni, and student organizations.The Archives holds an extensive collection of University publications including yearbooks, calendars, annual reports, newsletters, departmental handbooks, and student newspapers. The Archives also has Masters theses from 1897–1989 and Doctoral theses from 1900–1985.In addition, the Archives’ collection includes over 250,000 photographs and negatives, thousands of architectural plans and drawings of University buildings, and thousands of films, videos and sound recordings.For more information on the Archives’ holdings, please look at the Fonds Listings or search the Accessions Database .","The U of T Archives is open to all members of the university community and to the general public.Access to some university records may be restricted due to Ontario access and privacy legislation. For further information, please contact the University of Toronto Archives and Records Management Services at utarms@list.library.utoronto.ca .",true,0,0,true,0,0,true,0,0,true,0,0,true,0,0,true,0,0,true,0,0
ASCKC,"Academic Success Centre, Koffler Centre",https://onesearch.library.utoronto.ca/sites/default/files/styles/large/public/libraryphotos/koeffler_0.png?itok=sEkJQR3R,http://www.asc.utoronto.ca/,"214 College St. Toronto, Ontario, M5T 2Z9",416-978-1033,"This is a reference library open to the University community. Books are available on a wide variety of subjects: time management, reading and note-taking, memory and concentration, exam and essay preparation, thesis and comprehensive preparation, issues involving returning students, writing blocks, stress management and so on. A Learning Skills Assistant will be present during library hours to direct students to readings and, when desired, to assist students in making full use of the library resources.",,,true,0,0,true,0,0,true,0,0,true,0,0,true,0,0,true,0,0,true,0,0
ASTRONOMY,Astronomy and Astrophysics Library,https://onesearch.library.utoronto.ca/sites/default/files/styles/large/public/libraryphotos/3.jpg?itok=GTvICfPC,http://www.astro.utoronto.ca/AALibrary/,"60 St George Street, Room 1306 Toronto, Ontario, M5S 3H8",416-978-4268,"With over 25,000 volumes, this collection is primarily devoted to astronomy material and astrophysics material. It also includes physics, mathematics and computer science materials of interest to astronomers.","Records are are listed in the library catalogue , the microfiche catalogue, and the Campus Union Catalogue on cards in Robarts Library. In-house card/online catalogue is available.","Journals, observatory publications, star catalogues and atlases and reference material do NOT circulate.",true,0,0,true,0,0,true,0,0,true,0,0,true,0,0,true,0,0,true,0,0
BUSINESS,Business Information Centre at the Joseph L. Rotman School of Management,https://onesearch.library.utoronto.ca/sites/default/files/styles/large/public/libraryphotos/rotman_0.JPG?itok=zjfgScTB,http://www.rotman.utoronto.ca/FacultyAndResearch/BIC.aspx,"105 St. George Street 5th Floor, Room 5005 Toronto, Ontario, M5S 3E6",416-978-3421,"The BIC primarily circulating print collection covers a wide range of business subjects (accounting, including standard & guidelines; business & economics; corporate directories & rankings; and management including handbooks & guides).","5,000+ books, 500 journal and periodical titles, includes 200+ active subscriptions, 100 active reference serials (directories), Newspapers: Barron's, Financial Times of London, Globe & Mail, National Post, Toronto Star, and the Wall Street Journal","UofT faculty, staff and students have access to the BIC's electronic resources, including core business and finance databases linked from the BIC's homepage . Faculty, staff and students also have access to unique e-resources available only on BIC workstations using your UTOR ID, including:",true,0,0,true,0,0,true,0,0,true,0,0,true,0,0,true,0,0,true,0,0
CANADA_HK,Richard Charles Lee Canada-Hong Kong Library,https://onesearch.library.utoronto.ca/sites/default/files/styles/large/public/libraryphotos/206.jpg?itok=zfrTAsFH,http://hongkong.library.utoronto.ca/,"8th Floor, 130 St. George St. Toronto, Ontario, M5S 1A5",416-946-8978,"50,000 volumes. Major Canada Hong Kong resources centre in Canada. Includes resources on Hong Kong studies, Hong Kong statistics, government information and Chinese Canadian studies.",Materials are listed in the local catalogue system at the Canada Hong Kong Library. A cataloguing project has begun to make materials available the Library Catalogue. Contact the library by phone or email for further information.,All materials are restricted.,true,0,0,true,0,0,true,0,0,true,0,0,true,0,0,true,0,0,true,0,0
CHEMISTRY,Chemistry Library (A D Allen),https://onesearch.library.utoronto.ca/sites/default/files/styles/large/public/libraryphotos/4.jpg?itok=8IgN3fof,http://www.chem.utoronto.ca/facilities/chemlib/,"80 St George Street Toronto, Ontario, M5S 1A5",416-978-3587,"24,500 volumes including bound journals. (2003 figures) The collection serves the research and information needs of the faculty and graduate students in the Department of Chemistry. It is primarily composed of chemistry books and journals, some of which are duplicated in the Gerstein Science Information Centre or elsewhere. There are currently 160 journals being received. The collection also contains Chemistry MSc and PhD theses from 1986 plus some older theses.",CHEM holdings are listed in the library catalogue .,Periodicals do not circulate.,true,0,0,true,0,0,true,0,0,true,0,0,true,0,0,true,0,0,true,0,0
CRIM,Criminology Information Service & Library,https://onesearch.library.utoronto.ca/sites/default/files/styles/large/public/libraryphotos/6.jpg?itok=hIfWo0uM,http://criminology.utoronto.ca/library/,"14 Queen's Park Crescent West Toronto, Ontario, M5S 3K9",416-978-7124 (ext 245),"The focus of the collection is on criminology, criminal justice, deviant behaviour, corrections and penology, and policing and law enforcement. There are some legal materials available in the library (statutes, case reports, legal encyclopedia, etc.). For works on methodology of social science research, Robarts has the better collection. There is an article file of over 2,000 articles, reprints, government reports, etc., indexed for use. It is called the CRIMDOC database and can be searched from the Criminology Library home page on the World Wide Web.",John Ll. J. Edwards Collection,"Library catalogue coverage - excellent - covers more than 90% of our holdings. Current materials, theses, the article file, are best accessed in the library, not on the library catalogue .",true,0,0,true,0,0,true,0,0,true,0,0,true,0,0,true,0,0,true,0,0
CRL,"Career Resource Library, Koffler Centre ",https://onesearch.library.utoronto.ca/sites/default/files/styles/large/public/libraryphotos/koeffler.png?itok=RHyjPFEd,http://www.careers.utoronto.ca/home,"214 College St Toronto, Ontario, M5T 2Z9",416-978-8002,"Education - Calendars: North American and Overseas; Educational Directories  Career Information - occupational profiles, video and cassette tapes, self-assessment and job search materials.  Employment Information - business & service directories, company & government annual reports, periodicals; market surveys  Work, Study, Travel Abroad Information -- educational directories and calendars; general reference directories","Our catalogued records do not appear in the library catalogue . For access to our resources, please see our subject catalogue located on the Career Centre website .",,true,0,0,true,0,0,true,0,0,true,0,0,true,0,0,true,0,0,true,0,0
