id,title,building_id,campus,type,description,lat,lng,address
0123,371 Bloor Street West,014,UTSG,car,"Cash Parking
$4.00 half hour
$12.00 Maximum until 10pm
Overnight parking 4pm to 6:00am $7.00
Weekends $7.00
Unreserved Permit Parking
24/7 parking 
Cash parking receipts are not transferable and are valid at the parking lot where purchased.",43.66623,-79.4025,"371 Bloor St W, Toronto, ON M5S 2R7, Canada"
0127,Bicycle Parking: Banting Institute,16,UTSG,bicycle,3 post & ring bicycle stands,43.66034,-79.38876,
0216,Bicycle Parking: Bahen Centre,80,UTSG,bicycle,73 post & ring bicycle stands,43.66027,-79.39717,
0217,Bicycle Parking: Architecture Building,28,UTSG,bicycle,18 post & ring bicycle stands,43.65861,-79.39817,
0230,Bicycle Parking: Claude T. Bissell Building,6A,UTSG,bicycle,29 post & ring bicycle stands,43.6652,-79.39921,
0231,Bicycle Parking: Clara Benson Building,68,UTSG,bicycle,38 post & ring bicycle stands,43.66333,-79.40032,
0233,Bicycle Parking: 370 Huron Street,138,UTSG,bicycle,7 post & ring bicycle stands,43.66463,-79.40041,
0237,Bicycle Parking: Best Institute,52,UTSG,bicycle,9 post & ring bicycle stands,43.66026,-79.38918,
0240,Bicycle Parking: 56 Spadina Road,153,UTSG,bicycle,2 post & ring bicycle stands,43.66971,-79.40531,
0242,Bicycle Parking: Institute for Christian Studies,,UTSG,bicycle,5 post & ring bicycle stands,43.65833,-79.39751,
0247,Bicycle Parking: Canadiana Gallery,47,UTSG,bicycle,1 bicycle rack,43.66204,-79.39277,
0249,Bicycle Parking: 89 Chestnut,158,UTSG,bicycle,19 post & ring bicycle stands,43.65439,-79.38499,
0250,Bicycle Parking: Cumberland House,26,UTSG,bicycle,1 post & ring bicycle stand,43.65941,-79.39613,
0251,Bicycle Parking: 243 College,,UTSG,bicycle,3 post & ring bicycle stands,43.65808,-79.39878,
0252,Bicycle Parking: Dentistry Building,65,UTSG,bicycle,32 post & ring stands and 3 bicycle racks,43.65585,-79.38688,
0253,Bicycle Parking: Edward Johnson Building,51,UTSG,bicycle,32 post & ring stands and 3 bicycle racks,43.66657,-79.39429,
0254,Bicycle Parking: Early Learning Centre,129,UTSG,bicycle,5 post & ring bicycle stands,43.66402,-79.40122,
0255,Bicycle Parking: Earth Sciences Centre,62,UTSG,bicycle,43 post & ring stands and 1 bicycle rack,43.66082,-79.39927,
